Daniel played football . In his game , Daniel scored a	1	8	0.6982772350311279	['touchdown', 'goal', 'run', 'century']	touchdown	0	0.97	1
Daniel has a sister and played football . In his game , Daniel scored a	5	8	0.6657045483589172	['touchdown', 'goal', 'run', 'century']	touchdown	0	0.92	1
Daniel has a sister , went to school in France , and played football . In his game , Daniel scored a	12	8	0.1602112501859665	['goal', 'touchdown', 'run', 'century']	touchdown	0	0.22	2
Daniel has a sister , went to school in France , sang in a choir , and played football . In his game , Daniel scored a	17	8	0.23410315811634064	['touchdown', 'goal', 'run', 'century']	touchdown	0	0.33	1
Sebastian played baseball . In his game , Sebastian scored a	1	8	0.15849025547504425	['run', 'goal', 'touchdown', 'century']	run	0	0.79	1
Sebastian has a sister and played baseball . In his game , Sebastian scored a	5	8	0.12389703094959259	['run', 'goal', 'touchdown', 'century']	run	0	0.62	1
Sebastian has a sister , went to school in France , and played baseball . In his game , Sebastian scored a	12	8	0.10340630263090134	['run', 'goal', 'touchdown', 'century']	run	0	0.52	1
Sebastian has a sister , went to school in France , sang in a choir , and played baseball . In his game , Sebastian scored a	17	8	0.07303338497877121	['run', 'goal', 'touchdown', 'century']	run	0	0.37	1
Jake played soccer . In his game , Jake scored a	1	8	0.691474199295044	['goal', 'touchdown', 'run', 'century']	goal	0	1.02	1
Jake has a sister and played soccer . In his game , Jake scored a	5	8	0.706642210483551	['goal', 'touchdown', 'run', 'century']	goal	0	1.04	1
Jake has a sister , went to school in France , and played soccer . In his game , Jake scored a	12	8	0.5276473164558411	['goal', 'touchdown', 'run', 'century']	goal	0	0.78	1
Jake has a sister , went to school in France , sang in a choir , and played soccer . In his game , Jake scored a	17	8	0.4824446141719818	['goal', 'touchdown', 'run', 'century']	goal	0	0.71	1
Jake played cricket . In his game , Jake scored a	1	8	0.14815287292003632	['century', 'run', 'goal', 'touchdown']	century	0	1.06	1
Jake has a sister and played cricket . In his game , Jake scored a	5	8	0.24076563119888306	['century', 'run', 'goal', 'touchdown']	century	0	1.72	1
Jake has a sister , went to school in France , and played cricket . In his game , Jake scored a	12	8	0.23280973732471466	['century', 'run', 'goal', 'touchdown']	century	0	1.66	1
Jake has a sister , went to school in France , sang in a choir , and played cricket . In his game , Jake scored a	17	8	0.27267688512802124	['century', 'run', 'goal', 'touchdown']	century	0	1.95	1
Daniel played football and John scored a run . In his game , Daniel scored a	1	13	0.2659889757633209	['run', 'touchdown', 'goal', 'century']	touchdown	1	0.37	2
Daniel has a sister and played football and John scored a run . In his game , Daniel scored a	5	13	0.09573247283697128	['run', 'touchdown', 'goal', 'century']	touchdown	1	0.13	2
Daniel has a sister , went to school in France , and played football and John scored a run . In his game , Daniel scored a	12	13	0.027671577408909798	['run', 'goal', 'touchdown', 'century']	touchdown	1	0.04	3
Daniel has a sister , went to school in France , sang in a choir , and played football and John scored a run . In his game , Daniel scored a	17	13	0.02932504191994667	['run', 'goal', 'touchdown', 'century']	touchdown	1	0.04	3
Sebastian played football and Jake scored a goal . In his game , Sebastian scored a	1	13	0.014571771956980228	['goal', 'touchdown', 'run', 'century']	touchdown	1	0.02	2
Sebastian has a sister and played football and Jake scored a goal . In his game , Sebastian scored a	5	13	0.00892838928848505	['goal', 'touchdown', 'run', 'century']	touchdown	1	0.01	2
Sebastian has a sister , went to school in France , and played football and Jake scored a goal . In his game , Sebastian scored a	12	13	0.004455387592315674	['goal', 'touchdown', 'run', 'century']	touchdown	1	0.01	2
Sebastian has a sister , went to school in France , sang in a choir , and played football and Jake scored a goal . In his game , Sebastian scored a	17	13	0.005003890488296747	['goal', 'touchdown', 'run', 'century']	touchdown	1	0.01	2
Sebastian played football and Jack scored a century . In his game , Sebastian scored a	1	13	0.0062717413529753685	['century', 'goal', 'run', 'touchdown']	touchdown	1	0.01	4
Sebastian has a sister and played football and Jack scored a century . In his game , Sebastian scored a	5	13	0.004245975520461798	['century', 'goal', 'run', 'touchdown']	touchdown	1	0.01	4
Sebastian has a sister , went to school in France , and played football and Jack scored a century . In his game , Sebastian scored a	12	13	0.002668621949851513	['century', 'run', 'goal', 'touchdown']	touchdown	1	0.0	4
Sebastian has a sister , went to school in France , sang in a choir , and played football and Jack scored a century . In his game , Sebastian scored a	17	13	0.0024456751998513937	['century', 'run', 'goal', 'touchdown']	touchdown	1	0.0	4
John played baseball and Jake scored a touchdown . In his game , John scored a	1	13	0.001784243737347424	['touchdown', 'goal', 'run', 'century']	run	1	0.01	3
John has a sister and played baseball and Jake scored a touchdown . In his game , John scored a	5	13	0.001867776969447732	['touchdown', 'goal', 'run', 'century']	run	1	0.01	3
John has a sister , went to school in France , and played baseball and Jake scored a touchdown . In his game , John scored a	12	13	0.0013538551284000278	['touchdown', 'goal', 'run', 'century']	run	1	0.01	3
